epoch,acc,loss,lr,tn,tp,val_acc,val_loss,val_tn,val_tp
0,0.48962457577498364,1.7570848728929247,0.001,0.5690367488634018,0.12479885785696318,0.44107365492317413,3.7398281706704033,0.47586553427908157,0.20249906215402816
1,0.5287765289612469,0.8445596736811456,0.0007071068,0.5461029402202084,0.18538024206534914,0.5712026615937551,0.8375850465562609,0.6553542653719584,0.17471773558192782
2,0.6609728917745608,0.5716077693871089,0.00057735026,0.5539934381399126,0.3231164186882476,0.5036204665899277,0.9820857008298238,0.6631272077560425,0.08760663686941067
3,0.8086543589830398,0.4252719625475861,0.0005,0.5368081019903045,0.5044972631237692,0.6778610030810038,1.175406034787496,0.6128659023178948,0.3341037697262234
4,0.8867174980186281,0.3162109167093322,0.0004472136,0.5584330755175047,0.631537882965945,0.6157303380883402,1.7163592365052964,0.6919460813204448,0.19972045020096832
0,0.5071339385007464,2.055224564387685,0.001,0.5027495505199546,0.23108208553776854,0.49305035629206234,4.113663277692265,0.6936500430107116,0.03612236152920458
1,0.521785268524573,1.257778992823192,0.0007071068,0.5381939080499467,0.21040238977432074,0.4731169388526016,2.23380109667778,0.6039801650577121,0.11731604374945163
2,0.5751471364693272,0.9044333840409915,0.00057735026,0.4946059925215585,0.34832102922900093,0.576321264439159,1.903868854045868,0.5832938949267069,0.23588471859693527
3,0.6039816298122916,0.8330551356786773,0.0005,0.5285198849226748,0.35488078476129364,0.5803578845328755,1.160108940468894,0.6493234038352966,0.18983929405609767
4,0.6550338870890083,0.611684559072767,0.0004472136,0.5332725809443565,0.38613349507296724,0.6542654971281687,0.6339437699980206,0.5462284902731578,0.3893390917115741
